WorldX,WorldZ,AnalyticGrad,FDGrad,AnalyticHess,FDHess
-0.0126263,-0.234848,-1.22846,-1.2237,9.19914,9.74908
-0.00757576,-0.234848,-1.16421,-1.15949,9.31714,9.71928
-0.00252525,-0.234848,-1.16499,-1.1602,9.41245,9.83477
0.00252525,-0.234848,-1.17189,-1.16666,10.0627,10.768
0.00757576,-0.234848,-1.12713,-1.122,9.87037,10.4792
0.0126263,-0.234848,-1.16209,-1.1568,10.3464,10.8555
0.0176768,-0.234848,-1.17626,-1.17059,10.993,11.5819
0.0227273,-0.234848,-1.09586,-1.09032,10.7596,11.3025
0.0277778,-0.234848,-1.12085,-1.11481,11.7596,12.394
0.0328283,-0.234848,-1.11981,-1.11384,11.601,12.1966
0.0378788,-0.234848,-1.10744,-1.10134,11.7217,12.4313
0.0429293,-0.234848,-1.06348,-1.05705,12.1304,12.9528
0.0479798,-0.234848,-1.05116,-1.04455,12.7365,13.3552
0.0530303,-0.234848,-1.0907,-1.08391,12.9066,13.7687
0.0580808,-0.234848,-1.08016,-1.07279,13.7194,14.8714
0.0631313,-0.234848,-1.12742,-1.12008,14.0235,15.0651
0.0681818,-0.234848,-1.05171,-1.04428,14.0426,15.147
0.0732323,-0.234848,-1.06672,-1.05906,14.4129,15.5419
0.0782828,-0.234848,-0.984038,-0.976756,14.1989,14.9235
0.0833333,-0.234848,-0.977754,-0.970192,14.6769,15.5494
0.0883838,-0.234848,-0.957895,-0.950642,14.4458,14.8714
0.0934343,-0.234848,-0.880327,-0.872895,14.382,15.147
0.0984849,-0.234848,-0.830897,-0.823334,14.8107,15.4227
0.103535,-0.234848,-0.815644,-0.807933,14.9142,15.5792
0.108586,-0.234848,-0.766732,-0.758886,15.1021,15.8548
0.113636,-0.234848,-0.761561,-0.753358,16.1201,16.6148
0.118687,-0.234848,-0.766872,-0.758842,16.3073,16.5701
0.123737,-0.234848,-0.674045,-0.665516,16.1885,17.1512
0.128788,-0.234848,-0.640365,-0.63248,15.5612,15.9591
0.133838,-0.234848,-0.578997,-0.570863,15.4685,16.287
0.138889,-0.234848,-0.519579,-0.511363,15.7988,16.4509
0.143939,-0.234848,-0.528872,-0.520453,15.9897,16.9426
0.14899,-0.234848,-0.523918,-0.515357,16.1141,17.5387
0.15404,-0.234848,-0.475276,-0.467166,16.1454,16.8085
0.159091,-0.234848,-0.469396,-0.461191,16.39,16.8234
0.164141,-0.234848,-0.423809,-0.415713,16.4661,16.9277
0.169192,-0.234848,-0.420628,-0.412106,16.5927,17.1661
0.174242,-0.234848,-0.419107,-0.410348,17.1883,17.6728
0.179293,-0.234848,-0.349231,-0.340715,16.543,17.0618
0.184343,-0.234848,-0.285736,-0.277326,16.5868,17.0916
0.189394,-0.234848,-0.286862,-0.277922,17.6623,18.1943
0.194444,-0.234848,-0.264196,-0.25472,17.7468,18.9692
0.199495,-0.234848,-0.236112,-0.227109,17.2567,18.5966
0.204545,-0.234848,-0.175646,-0.16664,17.1335,18.1794
0.209596,-0.234848,-0.0879996,-0.0787079,18.0511,18.7755
0.214646,-0.234848,-0.0451574,-0.0351816,18.5528,19.9079
0.219697,-0.234848,-0.0447918,-0.0351071,18.7023,19.6099
0.224747,-0.234848,0.0447092,0.0543445,18.8667,19.4758
0.229798,-0.234848,0.0715943,0.0812858,18.8116,19.1629
0.234848,-0.234848,0.104698,0.114739,19.6499,20.3699
0.239899,-0.234848,0.154906,0.163689,17.4685,17.6579
0.244949,-0.234848,0.187601,0.195339,15.5231,15.7207
0.25,-0.234848,0.191165,0.195846,10.5994,10.0881
-0.25,-0.229798,-0.51159,-0.504434,10.8813,14.3722
-0.244949,-0.229798,-0.43781,-0.432461,8.20509,10.6469
-0.239899,-0.229798,-0.406136,-0.402398,5.53769,7.52509
-0.234848,-0.229798,-0.354663,-0.351161,5.32779,7.0557
-0.229798,-0.229798,-0.38427,-0.381388,4.4699,5.7593
-0.224747,-0.229798,-0.355121,-0.352558,4.36354,5.23776
-0.219697,-0.229798,-0.359247,-0.357091,3.63993,4.448
-0.214646,-0.229798,-0.335885,-0.334028,3.23246,3.7998
-0.209596,-0.229798,-0.349663,-0.34827,2.39816,2.96533
-0.204545,-0.229798,-0.357196,-0.355676,2.62793,3.1516
-0.199495,-0.229798,-0.38099,-0.380106,1.49337,1.8999
-0.194444,-0.229798,-0.376671,-0.375867,1.59434,1.74344
